n_rep	n_seq	d	t	i	variable	valuemean	valuemin	valuemax	n_repetitionssum
1e5	10	d0	t1	False	Analysing	0.0	0	0	3
1e5	10	d0	t1	False	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	10	d0	t1	False	Reading input	0.0	0	0	3
1e5	10	d0	t1	False	Writing results	0.0	0	0	3
1e5	10	d0	t8	False	Analysing	0.0	0	0	3
1e5	10	d0	t8	False	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	10	d0	t8	False	Reading input	0.0	0	0	3
1e5	10	d0	t8	False	Writing results	0.0	0	0	3
1e5	10	d1	t1	False	Analysing	2.0	2	2	3
1e5	10	d1	t1	False	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	10	d1	t1	False	Reading input	0.0	0	0	3
1e5	10	d1	t1	False	Writing results	0.0	0	0	3
1e5	10	d1	t1	True	Analysing	4.333333333333333	4	5	3
1e5	10	d1	t1	True	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	10	d1	t1	True	Reading input	0.0	0	0	3
1e5	10	d1	t1	True	Writing results	0.0	0	0	3
1e5	10	d1	t8	False	Analysing	0.0	0	0	3
1e5	10	d1	t8	False	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	10	d1	t8	False	Reading input	0.0	0	0	3
1e5	10	d1	t8	False	Writing results	0.0	0	0	3
1e5	10	d1	t8	True	Analysing	0.0	0	0	3
1e5	10	d1	t8	True	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	10	d1	t8	True	Reading input	0.0	0	0	3
1e5	10	d1	t8	True	Writing results	0.0	0	0	3
1e5	10	d2	t1	False	Analysing	438.6666666666667	434	445	3
1e5	10	d2	t1	False	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	10	d2	t1	False	Reading input	0.0	0	0	3
1e5	10	d2	t1	False	Writing results	0.0	0	0	3
1e5	10	d2	t8	False	Analysing	55.666666666666664	55	57	3
1e5	10	d2	t8	False	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	10	d2	t8	False	Reading input	0.0	0	0	3
1e5	10	d2	t8	False	Writing results	0.0	0	0	3
1e5	100	d0	t1	False	Analysing	2.0	2	2	3
1e5	100	d0	t1	False	"Indexing, sorting
and hashing"	0.3333333333333333	0	1	3
1e5	100	d0	t1	False	Reading input	3.0	3	3	3
1e5	100	d0	t1	False	Writing results	0.0	0	0	3
1e5	100	d0	t8	False	Analysing	0.0	0	0	3
1e5	100	d0	t8	False	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	100	d0	t8	False	Reading input	3.0	3	3	3
1e5	100	d0	t8	False	Writing results	0.0	0	0	3
1e5	100	d1	t1	False	Analysing	65.66666666666667	56	72	3
1e5	100	d1	t1	False	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	100	d1	t1	False	Reading input	3.0	3	3	3
1e5	100	d1	t1	False	Writing results	0.0	0	0	3
1e5	100	d1	t1	True	Analysing	117.33333333333333	115	119	3
1e5	100	d1	t1	True	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	100	d1	t1	True	Reading input	3.0	3	3	3
1e5	100	d1	t1	True	Writing results	0.0	0	0	3
1e5	100	d1	t8	False	Analysing	10.666666666666666	9	13	3
1e5	100	d1	t8	False	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	100	d1	t8	False	Reading input	3.0	3	3	3
1e5	100	d1	t8	False	Writing results	0.0	0	0	3
1e5	100	d1	t8	True	Analysing	16.666666666666668	16	18	3
1e5	100	d1	t8	True	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	100	d1	t8	True	Reading input	3.0	3	3	3
1e5	100	d1	t8	True	Writing results	0.0	0	0	3
1e5	100	d2	t1	False	Analysing	11441.0	10927	11898	3
1e5	100	d2	t1	False	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	100	d2	t1	False	Reading input	3.0	3	3	3
1e5	100	d2	t1	False	Writing results	0.0	0	0	3
1e5	100	d2	t8	False	Analysing	1852.3333333333333	1577	2176	3
1e5	100	d2	t8	False	"Indexing, sorting
and hashing"	0.0	0	0	3
1e5	100	d2	t8	False	Reading input	3.0	3	3	3
1e5	100	d2	t8	False	Writing results	0.0	0	0	3
1e5	1000	d0	t1	False	Analysing	24.333333333333332	24	25	3
1e5	1000	d0	t1	False	"Indexing, sorting
and hashing"	10.333333333333334	10	11	3
1e5	1000	d0	t1	False	Reading input	36.333333333333336	35	38	3
1e5	1000	d0	t1	False	Writing results	0.0	0	0	3
1e5	1000	d0	t16	False	Analysing	6.333333333333333	6	7	3
1e5	1000	d0	t16	False	"Indexing, sorting
and hashing"	10.333333333333334	10	11	3
1e5	1000	d0	t16	False	Reading input	36.333333333333336	36	37	3
1e5	1000	d0	t16	False	Writing results	0.0	0	0	3
1e5	1000	d0	t8	False	Analysing	7.333333333333333	6	9	3
1e5	1000	d0	t8	False	"Indexing, sorting
and hashing"	10.333333333333334	10	11	3
1e5	1000	d0	t8	False	Reading input	35.666666666666664	35	36	3
1e5	1000	d0	t8	False	Writing results	0.0	0	0	3
1e5	1000	d1	t1	False	Analysing	927.0	898	947	3
1e5	1000	d1	t1	False	"Indexing, sorting
and hashing"	11.0	11	11	3
1e5	1000	d1	t1	False	Reading input	36.333333333333336	36	37	3
1e5	1000	d1	t1	False	Writing results	0.0	0	0	3
1e5	1000	d1	t1	True	Analysing	1761.0	1717	1816	3
1e5	1000	d1	t1	True	"Indexing, sorting
and hashing"	12.0	11	14	3
1e5	1000	d1	t1	True	Reading input	36.0	36	36	3
1e5	1000	d1	t1	True	Writing results	0.0	0	0	3
1e5	1000	d1	t16	False	Analysing	111.0	105	120	3
1e5	1000	d1	t16	False	"Indexing, sorting
and hashing"	12.333333333333334	11	15	3
1e5	1000	d1	t16	False	Reading input	35.666666666666664	35	36	3
1e5	1000	d1	t16	False	Writing results	0.0	0	0	3
1e5	1000	d1	t16	True	Analysing	191.66666666666666	188	195	3
1e5	1000	d1	t16	True	"Indexing, sorting
and hashing"	13.666666666666666	11	17	3
1e5	1000	d1	t16	True	Reading input	218.0	217	219	3
1e5	1000	d1	t16	True	Writing results	0.0	0	0	3
1e5	1000	d1	t8	False	Analysing	168.66666666666666	165	172	3
1e5	1000	d1	t8	False	"Indexing, sorting
and hashing"	11.666666666666666	11	13	3
1e5	1000	d1	t8	False	Reading input	36.0	35	37	3
1e5	1000	d1	t8	False	Writing results	0.0	0	0	3
1e5	1000	d1	t8	True	Analysing	319.6666666666667	281	386	3
1e5	1000	d1	t8	True	"Indexing, sorting
and hashing"	13.0	10	17	3
1e5	1000	d1	t8	True	Reading input	36.333333333333336	36	37	3
1e5	1000	d1	t8	True	Writing results	0.0	0	0	3
1e5	1000	d2	t1	False	Analysing	130685.0	129612	132620	3
1e5	1000	d2	t1	False	"Indexing, sorting
and hashing"	12.333333333333334	11	15	3
1e5	1000	d2	t1	False	Reading input	35.666666666666664	35	36	3
1e5	1000	d2	t1	False	Writing results	0.0	0	0	3
1e5	1000	d2	t16	False	Analysing	14481.333333333334	13962	15514	3
1e5	1000	d2	t16	False	"Indexing, sorting
and hashing"	13.0	10	18	3
1e5	1000	d2	t16	False	Reading input	37.666666666666664	36	40	3
1e5	1000	d2	t16	False	Writing results	0.0	0	0	3
1e5	1000	d2	t8	False	Analysing	18823.333333333332	18182	19929	3
1e5	1000	d2	t8	False	"Indexing, sorting
and hashing"	10.0	10	10	3
1e5	1000	d2	t8	False	Reading input	36.0	36	36	3
1e5	1000	d2	t8	False	Writing results	0.0	0	0	3
1e5	10000	d0	t1	False	Analysing	916.0	903	933	3
1e5	10000	d0	t1	False	"Indexing, sorting
and hashing"	141.0	139	142	3
1e5	10000	d0	t1	False	Reading input	598.6666666666666	594	601	3
1e5	10000	d0	t1	False	Writing results	6.666666666666667	6	7	3
1e5	10000	d0	t8	False	Analysing	272.0	226	353	3
1e5	10000	d0	t8	False	"Indexing, sorting
and hashing"	141.0	140	142	3
1e5	10000	d0	t8	False	Reading input	598.3333333333334	595	605	3
1e5	10000	d0	t8	False	Writing results	7.0	7	7	3
1e5	10000	d1	t1	False	Analysing	30990.666666666668	30721	31130	3
1e5	10000	d1	t1	False	"Indexing, sorting
and hashing"	147.33333333333334	141	159	3
1e5	10000	d1	t1	False	Reading input	586.3333333333334	581	590	3
1e5	10000	d1	t1	False	Writing results	7.0	7	7	3
1e5	10000	d1	t1	True	Analysing	60758.0	54544	67239	3
1e5	10000	d1	t1	True	"Indexing, sorting
and hashing"	215.0	209	218	3
1e5	10000	d1	t1	True	Reading input	595.0	590	601	3
1e5	10000	d1	t1	True	Writing results	7.0	7	7	3
1e5	10000	d1	t8	False	Analysing	7665.333333333333	7007	8162	3
1e5	10000	d1	t8	False	"Indexing, sorting
and hashing"	172.33333333333334	143	217	3
1e5	10000	d1	t8	False	Reading input	588.0	586	589	3
1e5	10000	d1	t8	False	Writing results	7.0	7	7	3
1e5	10000	d1	t8	True	Analysing	15011.666666666666	14064	15848	3
1e5	10000	d1	t8	True	"Indexing, sorting
and hashing"	238.66666666666666	207	292	3
1e5	10000	d1	t8	True	Reading input	598.0	590	603	3
1e5	10000	d1	t8	True	Writing results	7.0	7	7	3
1e5	10000	d2	t1	False	Analysing	1599336.0	1599336	1599336	1
1e5	10000	d2	t1	False	"Indexing, sorting
and hashing"	174.0	174	174	1
1e5	10000	d2	t1	False	Reading input	600.0	600	600	1
1e5	10000	d2	t1	False	Writing results	7.0	7	7	1
1e5	10000	d2	t8	False	Analysing	255476.0	255476	255476	1
1e5	10000	d2	t8	False	"Indexing, sorting
and hashing"	143.0	143	143	1
1e5	10000	d2	t8	False	Reading input	587.0	587	587	1
1e5	10000	d2	t8	False	Writing results	7.0	7	7	1
