tool	full_tool_name	n_rep	n_seq	d	t	i	exitcodemax	elapsed_secondsmean	elapsed_secondsmin	elapsed_secondsmax	maxrssmean	maxrssmin	maxrssmax	n_repetitionssum
compairr	compairr-t1	10	1e4	d0	t1	False	0	0.04	0.04	0.04	13582.666666666666	13560	13604	3
compairr	compairr-t1	10	1e5	d0	t1	False	0	0.5533333333333333	0.55	0.56	97745.33333333333	97700	97768	3
compairr	compairr-t1	10	1e5	d1	t1	False	0	2.8699999999999997	2.84	2.92	97716.0	97640	97800	3
compairr	compairr-t1	10	1e5	d1	t1	True	0	5.326666666666667	5.18	5.47	97913.33333333333	97896	97924	3
compairr	compairr-t1	10	1e5	d2	t1	False	0	439.8233333333333	435.35	446.08	111890.66666666667	111812	111944	3
compairr	compairr-t1	100	1e5	d0	t1	False	0	6.823333333333333	6.79	6.85	877294.6666666666	877008	877860	3
compairr	compairr-t1	100	1e5	d1	t1	False	0	70.93333333333334	61.14	77.71000000000001	877062.6666666666	877036	877104	3
compairr	compairr-t1	100	1e5	d1	t1	True	0	122.94	120.63	124.97	877102.6666666666	877064	877128	3
compairr	compairr-t1	100	1e5	d2	t1	False	0	11445.666666666666	10932.0	11903.0	892052.0	892000	892080	3
compairr	compairr-t1	1000	1e4	d0	t1	False	0	7.29	7.21	7.38	892558.6666666666	892364	892728	3
compairr	compairr-t1	1000	1e5	d0	t1	False	0	74.74	72.77	76.28	10436602.666666666	10436492	10436684	3
compairr	compairr-t1	1000	1e5	d1	t1	False	0	977.57	949.41	997.01	10436706.666666666	10436588	10436944	3
compairr	compairr-t1	1000	1e5	d1	t1	True	0	1812.6233333333332	1767.0	1869.56	10436689.333333334	10436632	10436756	3
compairr	compairr-t1	1000	1e5	d2	t1	False	0	130735.33333333333	129665.0	132670.0	10451633.333333334	10451564	10451700	3
compairr	compairr-t1	1000	1e6	d0	t1	False	0	1887.8166666666666	1773.33	2105.32	95214813.33333333	95214668	95214976	3
compairr	compairr-t1	10000	1e5	d0	t1	False	0	1671.68	1661.74	1685.01	96763082.66666667	96762968	96763172	3
compairr	compairr-t1	10000	1e5	d1	t1	False	0	31740.666666666668	31484.0	31878.0	96763020.0	96762992	96763036	3
compairr	compairr-t1	10000	1e5	d1	t1	True	0	61587.666666666664	55370.0	68071.0	96763177.33333333	96763004	96763524	3
compairr	compairr-t1	10000	1e5	d2	t1	False	0	1600125.0	1600125.0	1600125.0	96780376.0	96780376	96780376	1
compairr	compairr-t16	1000	1e5	d0	t16	False	0	56.96333333333333	56.37	57.67	10553988.0	10553968	10554008	3
compairr	compairr-t16	1000	1e5	d1	t16	False	0	162.48333333333335	158.17000000000002	169.94	10554317.333333334	10554196	10554424	3
compairr	compairr-t16	1000	1e5	d2	t16	False	0	14535.0	14013.0	15575.0	10786002.666666666	10784252	10787868	3
compairr	compairr-t8	10	1e4	d0	t8	False	0	0.06333333333333334	0.04	0.1	14032.0	13900	14156	3
compairr	compairr-t8	10	1e5	d0	t8	False	0	0.4666666666666666	0.46	0.47	98058.66666666667	98028	98080	3
compairr	compairr-t8	10	1e5	d1	t8	False	0	0.7466666666666667	0.73	0.77	98224.0	98160	98288	3
compairr	compairr-t8	10	1e5	d1	t8	True	0	1.0633333333333335	1.05	1.09	98429.33333333333	98356	98496	3
compairr	compairr-t8	10	1e5	d2	t8	False	0	56.38666666666666	55.5	58.06	196473.33333333334	194556	198496	3
compairr	compairr-t8	100	1e5	d0	t8	False	0	5.453333333333333	5.37	5.56	878398.6666666666	877796	878736	3
compairr	compairr-t8	100	1e5	d1	t8	False	0	15.936666666666667	14.49	18.37	878018.6666666666	877972	878048	3
compairr	compairr-t8	100	1e5	d1	t8	True	0	21.76	20.87	23.14	878406.6666666666	878116	878872	3
compairr	compairr-t8	100	1e5	d2	t8	False	0	1857.5100000000002	1581.71	2181.07	986682.6666666666	985768	987752	3
compairr	compairr-t8	1000	1e4	d0	t8	False	0	5.633333333333333	5.54	5.7	946701.3333333334	946464	947160	3
compairr	compairr-t8	1000	1e5	d0	t8	False	0	57.81	57.29	58.25	10491276.0	10491184	10491428	3
compairr	compairr-t8	1000	1e5	d1	t8	False	0	219.85333333333332	218.5	222.12	10491466.666666666	10491400	10491528	3
compairr	compairr-t8	1000	1e5	d1	t8	True	0	372.6566666666667	330.67	437.67	10491653.333333334	10491584	10491744	3
compairr	compairr-t8	1000	1e5	d2	t8	False	0	18872.333333333332	18231.0	19978.0	10610212.0	10608896	10611396	3
compairr	compairr-t8	1000	1e6	d0	t8	False	0	1132.18	1067.21	1214.17	95269384.0	95269272	95269512	3
compairr	compairr-t8	10000	1e5	d0	t8	False	0	1030.16	978.72	1120.11	102231854.66666667	102231800	102231948	3
compairr	compairr-t8	10000	1e5	d1	t8	False	0	8445.0	7770.0	8992.0	102232008.0	102231948	102232060	3
compairr	compairr-t8	10000	1e5	d1	t8	True	0	15872.0	14905.0	16767.0	102232510.66666667	102232444	102232632	3
compairr	compairr-t8	10000	1e5	d2	t8	False	0	256219.0	256219.0	256219.0	102362640.0	102362640	102362640	1
immunarch	immunarch	10	1e4				0	2.68	2.68	2.68	251192.0	251192	251192	1
immunarch	immunarch	10	1e5				0	10.953333333333333	9.25	13.26	670918.6666666666	617020	744544	3
immunarch	immunarch	10	1e6				0	172.99	172.99	172.99	3868824.0	3868824	3868824	1
immunarch	immunarch	100	1e4				0	16.76	16.76	16.76	787316.0	787316	787316	1
immunarch	immunarch	100	1e5				0	132.05999999999997	128.92	134.13	4466237.333333333	4369652	4541228	3
immunarch	immunarch	100	1e6				0	3772.0	3772.0	3772.0	38999960.0	38999960	38999960	1
immunarch	immunarch	1000	1e4				0	583.8866666666667	582.0	587.41	4867029.333333333	4826512	4935792	3
immunarch	immunarch	1000	1e5				0	11786.666666666666	7579.0	18875.0	38607285.333333336	38600168	38612104	3
immunarch	immunarch	1000	1e6				0	152644.0	92068.0	190445.0	331987857.3333333	331900040	332056180	3
immunarch	immunarch	10000	1e5				0	903051.0	903051.0	903051.0	337843200.0	337843200	337843200	1
immuneref	immuneref	10	1e4				0	5.15	5.15	5.15	560820.0	560820	560820	1
immuneref	immuneref	10	1e5				0	26.810000000000002	25.33	27.71	961125.3333333334	869072	1024404	3
immuneref	immuneref	10	1e6				0	537.23	537.23	537.23	3871940.0	3871940	3871940	1
immuneref	immuneref	100	1e4				0	33.42	33.42	33.42	972988.0	972988	972988	1
immuneref	immuneref	100	1e5				0	360.34666666666664	357.38	363.39	4168473.3333333335	4139832	4220400	3
immuneref	immuneref	100	1e6				0	12888.0	12888.0	12888.0	35717268.0	35717268	35717268	1
immuneref	immuneref	1000	1e4				0	1596.5600000000002	1164.49	2428.16	4568724.0	4500172	4673784	3
immuneref	immuneref	1000	1e5				0	35120.0	21296.0	59547.0	36058536.0	36041784	36085972	3
immuneref	immuneref	1000	1e6				0	406614.0	406614.0	406614.0	303799664.0	303799664	303799664	1
immuneref	immuneref	10000	1e5				0	1982320.0	1982320.0	1982320.0	352808528.0	352808528	352808528	1
vdjtools	vdjtools	10	1e4				0	3.07	3.07	3.07	1245564.0	1245564	1245564	1
vdjtools	vdjtools	10	1e5				0	13.49	12.82	14.48	8067921.333333333	5559408	9385456	3
vdjtools	vdjtools	10	1e6				0	289.85	289.85	289.85	16403956.0	16403956	16403956	1
vdjtools	vdjtools	100	1e4				0	84.45333333333333	73.47	96.86	10432796.0	10408768	10444968	3
vdjtools	vdjtools	100	1e5				0	457.25333333333333	434.05	472.07	53266516.0	8688464	79406084	3
vdjtools	vdjtools	100	1e6				0	4893.0	4893.0	4893.0	85235344.0	85235344	85235344	1
vdjtools	vdjtools	1000	1e4				0	5634.183333333333	2873.38	10587.0	65795926.666666664	14146160	91659544	3
vdjtools	vdjtools	1000	1e5				0	235362.66666666666	37892.0	628734.0	94897664.0	33783088	125536780	3
vdjtools	vdjtools	10000	1e5				1	1664247.0	1664247.0	1664247.0	271583500.0	271583500	271583500	1
